wa_number,name,clinic_name,clinic_type,city,source
628113391916,CS Dental,CS Dental,gigi,Jakarta,maps
6281717292009,Dante Dental,Dante Dental,gigi,Bandung,maps
6281320096077,Bandung Dental,Bandung Dental,gigi,Bandung,maps
6282335983767,Craun Dental,Craun Dental,gigi,Surabaya,maps
6285648443455,Sevendental,Sevendental,gigi,Surabaya,maps
62895334481550,Kertajaya,Kertajaya,gigi,Surabaya,maps
6282211776161,Oktavie Denta,Oktavie Denta,gigi,Sleman,maps
6285117456387,Kindy Dental,Kindy Dental,gigi,Sleman,maps
6281274479191,Duwa Dental,Duwa Dental,gigi,Sleman,maps
628112959360,Opal Dental,Opal Dental,gigi,Yogyakarta,maps
6285215802278,Medan Dental,Medan Dental,gigi,Medan,maps
6281284256161,Medan Ringroad,Medan Ringroad,gigi,Medan,maps
6285219729191,Sheen Dental,Sheen Dental,gigi,Medan,maps
6287874088788,Yugen Sunter,Yugen Sunter,estetika,Jakarta,maps
6285890009950,Insta Beauty,Insta Beauty,estetika,Jakarta,maps
628112252288,Bandung Skin,Bandung Skin,estetika,Bandung,maps
628118883318,Vorta Beauty,Vorta Beauty,estetika,Bandung,maps
6282213895000,Beautylogica,Beautylogica,estetika,Bandung,maps
6289675532121,Moonchelle,Moonchelle,estetika,Surabaya,maps
6282142196415,MelVal Labskin,MelVal Labskin,estetika,Surabaya,maps
628112096225,Karadenta,Karadenta,estetika,Surabaya,maps
6281283993824,Aktifa Beauty,Aktifa Beauty,estetika,Bekasi,maps
6285217159457,Reglow,Reglow,estetika,Bekasi,maps
6285100722407,Jasper,Jasper,estetika,Depok,maps
6281142666655,Fabella,Fabella,estetika,Depok,maps
6281297009687,Maria Aesthetic,Maria Aesthetic,estetika,Tangerang,maps
6281779231367,Comfiderma,Comfiderma,estetika,Yogyakarta,maps
6287843333235,Ferihana Beauty,Ferihana Beauty,estetika,Yogyakarta,maps
6285174115261,Moira Clinic,Moira Clinic,estetika,Semarang,maps
6281285017381,Younger Looks,Younger Looks,estetika,Tangerang,maps
